2024-11-30 23:20:50,430 - INFO - Starting extraction process using index: data/positive_tics.csv
2024-11-30 23:20:50,437 - INFO - Loaded index CSV: data/positive_tics.csv
2024-11-30 23:20:50,470 - INFO - Saved light curve data to: /run/media/maverick/X10 Pro/exoplanetDatasetReindexedFinal/positive/positive_extract/LC_EXT/tess2019279210107-s0017-0000000176860064-0161-s_lc.fits.csv
2024-11-30 23:20:50,471 - INFO - Saved aperture mask to: /run/media/maverick/X10 Pro/exoplanetDatasetReindexedFinal/positive/positive_extract/AP_EXT/tess2019279210107-s0017-0000000176860064-0161-s_lc.fits.npy
2024-11-30 23:20:50,497 - DEBUG - Loaded backend qtagg version 5.15.10.
2024-11-30 23:20:50,545 - DEBUG - findfont: Matching sans\-serif:style=normal:variant=normal:weight=normal:stretch=normal:size=10.0.
2024-11-30 23:20:50,545 - DEBUG - findfont: score(FontEntry(fname='/home/maverick/anaconda3/lib/python3.12/site-packages/matplotlib/mpl-data/fonts/ttf/cmb10.ttf', name='cmb10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-11-30 23:20:50,545 - DEBUG - findfont: score(FontEntry(fname='/home/maverick/anaconda3/lib/python3.12/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSansMono-Oblique.ttf', name='DejaVu Sans Mono', style='oblique', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2024-11-30 23:20:50,545 - DEBUG - findfont: score(FontEntry(fname='/home/maverick/anaconda3/lib/python3.12/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans-Oblique.ttf', name='DejaVu Sans', style='oblique', variant='normal', weight=400, stretch='normal', size='scalable')) = 1.05
2024-11-30 23:20:50,545 - DEBUG - findfont: score(FontEntry(fname='/home/maverick/anaconda3/lib/python3.12/site-packages/matplotlib/mpl-data/fonts/ttf/cmss10.ttf', name='cmss10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-11-30 23:20:50,545 - DEBUG - findfont: score(FontEntry(fname='/home/maverick/anaconda3/lib/python3.12/site-packages/matplotlib/mpl-data/fonts/ttf/STIXGeneral.ttf', name='STIXGeneral', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-11-30 23:20:50,545 - DEBUG - findfont: score(FontEntry(fname='/home/maverick/anaconda3/lib/python3.12/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSerif-Bold.ttf', name='DejaVu Serif', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2024-11-30 23:20:50,545 - DEBUG - findfont: score(FontEntry(fname='/home/maverick/anaconda3/lib/python3.12/site-packages/matplotlib/mpl-data/fonts/ttf/STIXNonUniBol.ttf', name='STIXNonUnicode', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2024-11-30 23:20:50,545 - DEBUG - findfont: score(FontEntry(fname='/home/maverick/anaconda3/lib/python3.12/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSansMono-Bold.ttf', name='DejaVu Sans Mono', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2024-11-30 23:20:50,545 - DEBUG - findfont: score(FontEntry(fname='/home/maverick/anaconda3/lib/python3.12/site-packages/matplotlib/mpl-data/fonts/ttf/STIXNonUniBolIta.ttf', name='STIXNonUnicode', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2024-11-30 23:20:50,545 - DEBUG - findfont: score(FontEntry(fname='/home/maverick/anaconda3/lib/python3.12/site-packages/matplotlib/mpl-data/fonts/ttf/cmmi10.ttf', name='cmmi10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-11-30 23:20:50,545 - DEBUG - findfont: score(FontEntry(fname='/home/maverick/anaconda3/lib/python3.12/site-packages/matplotlib/mpl-data/fonts/ttf/STIXNonUni.ttf', name='STIXNonUnicode', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
